WARNING 2025-08-30 18:58:08,147 log Not Found: /media/images/vacation_images/medellin.jpg
WARNING 2025-08-30 18:58:08,148 basehttp "GET /media/images/vacation_images/sydney.jpg HTTP/1.1" 404 5078
WARNING 2025-08-30 18:58:08,150 log Not Found: /media/images/vacation_images/losangeles.jpg
WARNING 2025-08-30 18:58:08,151 basehttp "GET /media/images/vacation_images/losangeles.jpg HTTP/1.1" 404 5094
WARNING 2025-08-30 18:58:08,150 basehttp "GET /media/images/vacation_images/medellin.jpg HTTP/1.1" 404 5086
INFO 2025-08-30 18:58:09,257 basehttp "GET /edit/13/ HTTP/1.1" 200 6101
WARNING 2025-08-30 18:58:09,268 basehttp "GET /static/js/script.js HTTP/1.1" 404 1850
WARNING 2025-08-30 18:58:09,271 log Not Found: /media/images/vacation_images/default.jpg
WARNING 2025-08-30 18:58:09,272 basehttp "GET /static/css/style.css HTTP/1.1" 404 1853
WARNING 2025-08-30 18:58:09,272 basehttp "GET /media/images/vacation_images/default.jpg HTTP/1.1" 404 5082
INFO 2025-08-30 18:59:51,689 autoreload Watching for file changes with StatReloader
WARNING 2025-08-30 18:59:56,293 log Not Found: /media/images/vacation_images/paris.jpg
WARNING 2025-08-30 18:59:56,294 basehttp "HEAD /media/images/vacation_images/paris.jpg HTTP/1.1" 404 0
INFO 2025-08-30 19:01:09,129 autoreload Watching for file changes with StatReloader
INFO 2025-08-30 19:01:27,949 basehttp "HEAD /media/images/vacation_images/paris.jpg HTTP/1.1" 200 0
INFO 2025-08-30 19:01:33,592 basehttp "GET /login/ HTTP/1.1" 200 3370
INFO 2025-08-30 19:26:22,632 basehttp "GET / HTTP/1.1" 200 32058
WARNING 2025-08-30 19:26:22,651 basehttp "GET /static/css/style.css HTTP/1.1" 404 1853
INFO 2025-08-30 19:26:22,653 basehttp "GET /media/images/vacation_images/default.jpg HTTP/1.1" 200 11
WARNING 2025-08-30 19:26:22,657 basehttp "GET /static/js/script.js HTTP/1.1" 404 1850
